N,f,q,k,W,gossip_flow_recon_recall,gossip_flow_dos_recall,gossip_corrected_flow_recon_recall,gossip_corrected_flow_dos_recall,gossip_window_recon_recall,gossip_window_dos_recall,gossip_recon_fpr,gossip_dos_fpr,gossip_bandwidth,gossip_latency,indep_flow_recon_recall,indep_flow_dos_recall,indep_window_recon_recall,indep_window_dos_recall,indep_recon_fpr,indep_dos_fpr,indep_bandwidth,indep_latency,cent_flow_recon_recall,cent_flow_dos_recall,cent_window_recon_recall,cent_window_dos_recall,cent_recon_fpr,cent_dos_fpr,cent_bandwidth,cent_latency
16,3,10,16,5,0.7609,0.7388,0.5812,0.7038,0.5543,0.5735,0.2716,0.3616,0.0615,2574.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.9691,0.8948,0.8933,0.8110,0.5906,0.4985,0.0205,1716.0000
16,3,12,16,5,0.5586,0.6427,0.4717,0.6261,0.3131,0.3546,0.1566,0.2782,0.0615,2574.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.9256,0.8454,0.7973,0.7658,0.4666,0.4680,0.0205,1716.0000
16,3,14,16,5,0.2271,0.3852,0.2162,0.3852,0.0631,0.1357,0.0463,0.1986,0.0615,2574.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.8458,0.7985,0.6894,0.6953,0.3605,0.4310,0.0205,1716.0000
16,3,16,16,5,0.0000,0.0545,0.0000,0.0545,0.0000,0.0067,0.0017,0.0283,0.0615,2574.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.7111,0.7327,0.4703,0.5150,0.2357,0.3402,0.0205,2574.0000
16,4,2,16,5,1.0000,1.0000,0.0069,0.8117,0.9994,1.0000,0.8328,0.6258,0.0820,1716.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,1.0000,1.0000,0.9994,1.0000,0.8336,0.6277,0.0205,1716.0000
16,4,4,16,5,0.9971,0.9971,0.0363,0.8577,0.9798,0.9667,0.7876,0.5781,0.0820,1716.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.9997,1.0000,0.9937,0.9900,0.8089,0.5973,0.0205,1716.0000
16,4,6,16,5,0.9805,0.9423,0.2351,0.8379,0.9236,0.8490,0.6571,0.5174,0.0820,1716.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.9940,0.9946,0.9779,0.9454,0.7750,0.5649,0.0205,1716.0000
16,4,8,16,5,0.9322,0.8452,0.5140,0.7638,0.8119,0.7618,0.4610,0.4675,0.0820,1716.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.9863,0.9631,0.9463,0.8816,0.7093,0.5317,0.0205,1716.0000
16,4,10,16,5,0.8292,0.7833,0.5861,0.7258,0.6604,0.6747,0.3333,0.4145,0.0820,2574.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.9691,0.8948,0.8933,0.8110,0.5906,0.4985,0.0205,1716.0000
16,4,12,16,5,0.6825,0.7300,0.5286,0.6994,0.4558,0.5283,0.2332,0.3416,0.0820,2574.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.9256,0.8454,0.7973,0.7658,0.4666,0.4680,0.0205,1716.0000
16,4,14,16,5,0.4860,0.5608,0.4082,0.5547,0.2399,0.2901,0.1319,0.2450,0.0820,2574.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.8458,0.7985,0.6894,0.6953,0.3605,0.4310,0.0205,1716.0000
16,4,16,16,5,0.0924,0.2690,0.0892,0.2690,0.0170,0.0532,0.0112,0.1374,0.0820,2574.0000,1.0000,1.0000,1.0000,1.0000,0.8852,0.6634,0.0000,1716.0000,0.7111,0.7327,0.4703,0.5150,0.2357,0.3402,0.0205,2574.0000
